Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	480.4303	71.41482	0.73485	0.47266	0.49672	0.47826	 0.4634	0.49672	0.47826	 0.4634	0.47266	-0.0072106	  0.17689	   0.122	  0.16856	  0.10539	 0.025084	   0.10162	 0.073376	  0.051175	-0.0080801	 0.050801	0.044861
2	483.8705	74.15193	0.68182	0.48159	 0.4951	0.48429	0.47884	 0.4951	0.48429	0.47884	0.48159	  0.070138	-0.049748	0.053485	  0.11854	 0.074207	-0.043565	  0.013002	0.0026377	  0.020952	 -0.053218	-0.029868	0.048638
3	486.6922	64.01415	0.75758	0.48277	 0.5058	0.46106	0.49266	 0.5058	0.46106	0.49266	0.48277	   0.15365	 0.056591	0.051625	-0.064652	-0.087047	 0.065433	 -0.065972	-0.039408	  0.040041	   0.15899	 0.091062	0.078945
4	349.9136	149.6351	0.88258	0.34322	 0.3308	0.32036	0.36237	 0.3308	0.32036	0.36237	0.34322	   0.19601	  0.19106	 0.17964	  0.16143	 0.069289	  0.27408	-0.0058242	   0.1066	-0.0081417	  0.069555	 0.099123	 0.25506
5	489.1271	77.27199	0.64394	0.49476	0.50876	0.48673	0.47426	0.50876	0.48673	0.47426	0.49476	  0.027905	-0.032383	0.044481	 0.078035	-0.070892	 -0.10414	  0.071334	 0.030316	  0.030564	 -0.030455	 0.037775	 0.01956
6	176.5133	106.8984	0.93561	0.14962	0.17907	0.14005	0.18878	0.17907	0.14005	0.18878	0.14962	   0.15038	 0.019351	0.045922	 0.092186	-0.038462	-0.065115	  -0.03601	 0.010427	 -0.010607	  0.031938	 0.060761	 0.12862
