Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	389.9899	106.6416	0.81439	0.35985	 0.4056	0.40032	0.35985	 0.4056	0.38024	0.38024	0.40032	 -0.11424	 -0.22628	 -0.12877	  0.52279	-0.087428	  -0.18764	 -0.16258	 0.56768	  -0.16806	 -0.22464	 -0.13442	0.49902
2	402.9613	98.05201	0.83333	0.40779	0.40022	0.42703	0.40779	0.40022	0.37981	0.37981	0.42703	-0.052224	 -0.27713	-0.074596	  0.55967	 -0.13542	  -0.28906	 -0.11611	 0.46014	 -0.077036	 -0.24175	 -0.11538	0.49977
3	190.2156	106.3375	0.97727	0.19955	0.18147	0.14575	0.19955	0.18147	0.15891	0.15891	0.14575	  0.32553	  0.36095	  0.25798	  0.32847	  0.32248	   0.30411	  0.36299	 0.26242	   0.23884	  0.20567	  0.19917	0.42178
4	138.3232	77.15621	0.98485	0.13088	0.12517	0.11758	0.13088	0.12517	0.11623	0.11623	0.11758	 0.048388	 0.032142	  0.10197	0.0078658	 -0.10076	-0.0060865	 -0.11343	-0.11518	-0.0049024	-0.030711	 -0.16487	0.19986
5	433.8751	78.33748	0.83333	0.43275	 0.4147	0.45011	0.43275	 0.4147	0.43303	0.43303	0.45011	 0.048664	-0.060517	-0.048872	  0.26116	0.0017137	  -0.20343	-0.035264	 0.20905	  0.033435	 -0.14495	-0.009654	0.23282
6	 146.877	82.15889	0.99242	0.13263	 0.1402	0.11688	0.13263	 0.1402	0.12853	0.12853	0.11688	  0.13875	  0.13815	  0.19753	  0.11951	  0.17735	   0.12699	 0.097758	0.069368	    0.1275	0.0013654	  0.03725	0.18329
