Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	384.2282	109.1732	0.84848	0.35873	0.40575	0.40862	0.40862	0.36475	0.35873	0.40575	0.36475	 -0.13631	 -0.24908	 -0.08241	0.52059	-0.090956	 -0.27587	-0.099618	  0.48594	-0.057015	 -0.32751	-0.076769	  0.46884
2	372.2797	107.2685	0.79167	0.35342	0.39927	0.38303	0.38303	0.34639	0.35342	0.39927	0.34639	-0.094057	 -0.26055	-0.091962	0.47335	-0.086543	 -0.28812	-0.093512	  0.43897	 -0.10509	 -0.25962	 -0.11816	  0.43135
3	221.0985	127.4462	0.88258	 0.2044	0.19704	0.18999	0.18999	0.21192	 0.2044	0.19704	0.21192	  0.36991	   0.3533	  0.12876	0.13635	 0.042843	 0.075065	 0.055021	  0.10726	  0.09866	  0.17131	  0.29972	  0.39167
4	151.3883	91.79218	0.89773	0.12862	0.14136	0.12019	0.12019	 0.1453	0.12862	0.14136	 0.1453	  0.36694	  0.23756	  0.21257	0.11988	  0.15636	  0.13218	 0.083881	-0.014939	  0.13465	 0.033614	-0.069449	-0.035333
5	421.3777	81.42008	0.75758	0.41686	0.42362	0.42467	0.42467	0.40505	0.41686	0.42362	0.40505	0.0089054	-0.076535	 -0.11845	0.13528	  0.02723	-0.021642	-0.012391	 0.070603	-0.017175	-0.090387	 0.078971	  0.18509
6	143.3031	76.03451	0.98485	0.13855	0.13212	0.12531	0.12531	0.12896	0.13855	0.13212	0.12896	 0.067542	  0.13851	  0.18304	0.14569	 0.076299	 0.016293	 0.026425	 0.078593	 0.047808	-0.092609	-0.054544	 0.019365
