Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	  464.14	85.11993	0.67045	0.45792	0.46848	0.45741	0.45792	0.46848	0.45741	0.48408	0.48408	  -0.011548	 -0.12258	-0.0092463	 0.28438	-0.023949	 -0.15617	 0.028627	 0.25031	-0.053397	  -0.12415	-0.049931	  0.23048
2	489.7592	67.88213	 0.7197	0.49016	0.49389	0.47654	0.49016	0.49389	0.47654	0.50228	0.50228	-0.00036752	-0.066766	  0.045553	 0.10085	 -0.15273	-0.030057	0.0092122	 0.13724	-0.041925	 -0.086938	0.0011504	  0.16036
3	334.7181	123.0387	  0.875	0.31172	0.31821	0.32801	0.31172	0.31821	0.32801	0.33907	0.33907	      0.417	  0.31241	   0.34234	 0.36809	  0.30119	  0.28021	  0.27039	 0.23712	  0.25946	   0.22184	  0.20802	  0.26209
4	222.2016	127.1341	0.90909	0.20672	0.21615	0.22615	0.20672	0.21615	0.22615	0.21653	0.21653	    0.36045	  0.19662	   0.19428	 0.21032	  0.23945	 0.072693	-0.028088	0.062887	 0.097615	-0.0088962	-0.060342	-0.060738
5	  461.89	79.47379	 0.6553	0.46739	0.45801	0.44344	0.46739	0.45801	0.44344	0.47331	0.47331	   0.056109	-0.050502	   0.12988	 0.10283	  0.10591	-0.017115	0.0094676	0.079021	-0.074764	   -0.1148	-0.060239	0.0010038
6	158.8186	112.3124	0.92803	0.14101	0.13953	0.14023	0.14101	0.13953	0.14023	0.12868	0.12868	   0.083147	  0.11781	  0.059479	0.096622	-0.021711	 0.041843	 -0.06028	0.058409	  0.03264	 0.0098098	 0.017137	  0.05567
