Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	445.0663	73.4078	0.62121	0.43076	0.43076	0.43932	 0.4379	 0.4379	 0.45884	 0.45884	0.43932	0.060047	-0.029957	 -0.06221	 0.14946	   0.022065	-0.0088146	-0.066561	 0.028578	-0.093114	-0.097792	-0.044406	  0.054391
2	417.3934	64.5256	0.68939	0.42075	0.42075	  0.401	0.41058	0.41058	 0.42483	 0.42483	  0.401	0.093513	  0.12973	0.0022289	 0.14451	   0.083403	  -0.08206	 0.098457	 0.022819	  0.18014	 -0.11832	 0.036088	-0.0076306
3	240.7523	85.6831	0.87121	0.22489	0.22489	0.22408	0.23324	0.23324	 0.22046	 0.22046	0.22408	 0.44782	  0.35417	  0.24637	 0.23522	    0.04293	  0.030617	 0.044991	0.0033841	 0.064853	 0.060149	 0.088222	 0.0094422
4	130.1389	76.5124	0.94697	0.11475	0.11475	0.12129	0.12073	0.12073	0.098124	0.098124	0.12129	 0.37134	  0.27155	  0.18461	 0.10251	   0.077017	  0.024358	-0.056877	-0.044558	 -0.15349	-0.014864	-0.023256	 -0.037243
5	389.7934	75.2067	0.62879	0.41738	0.41738	0.39702	0.38096	0.38096	 0.37162	 0.37162	0.39702	 0.20107	 0.089625	 0.078152	 0.27935	    0.02488	 -0.080707	0.0041385	  0.12716	 0.091001	-0.097037	 0.039344	   0.11895
6	167.9365	79.0871	0.94697	0.15773	0.15773	0.17801	0.17886	0.17886	 0.13949	 0.13949	0.17801	 0.25505	  0.17684	 0.053979	0.098589	-0.00087273	  0.040343	-0.054623	  0.03091	 0.056054	 0.013411	-0.045999	  0.057461
