Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	446.0897	103.3644	0.39394	0.45235	0.45235	0.43646	0.46929	0.42048	0.43646	0.46929	0.42048	 0.073273	-0.018799	 0.027432	-0.044326	-0.056253	 0.034765	-0.086439	-0.045014	 -0.022511	 0.012967	-0.025119	 0.003042
2	433.6282	118.9133	0.43561	0.45215	0.45215	 0.4141	0.43459	 0.4233	 0.4141	0.43459	 0.4233	 0.067884	 0.065522	 0.045002	0.0054002	 0.060218	-0.029081	 0.046912	  0.12338	  -0.01876	0.0056353	-0.040725	 0.024363
3	380.4305	 105.784	0.70833	0.34961	0.34961	0.38701	0.36855	0.40707	0.38701	0.36855	0.40707	 0.016026	 0.028621	0.0044481	-0.035058	-0.051979	 -0.17009	-0.080282	-0.016644	  0.030304	 0.065453	 0.088237	  0.33546
4	308.4193	91.96049	0.88258	0.31692	0.31692	0.29624	0.29464	0.30132	0.29624	0.29464	0.30132	  0.32595	  0.23517	  0.15036	   0.1025	 0.092505	  0.11569	 0.053571	  0.12116	   0.05305	0.0028355	 0.041028	  0.24669
5	 458.549	86.36981	0.48106	0.49285	0.49285	0.43704	0.46403	0.44655	0.43704	0.46403	0.44655	-0.012904	 0.061865	-0.029589	 -0.07595	 0.015655	0.0019036	 0.017013	-0.035748	-0.0041535	-0.087762	-0.027043	-0.015656
6	 254.677	102.1885	0.91288	0.22156	0.22156	 0.2276	0.26353	0.25491	 0.2276	0.26353	0.25491	  0.30487	    0.211	 0.075179	  0.11376	   0.1964	    0.212	  0.15717	  0.17964	   0.15919	  0.16076	  0.12227	  0.15282
