Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	388.8297	115.5484	0.86364	0.42647	0.39241	0.39241	0.36043	 0.3677	0.42647	0.36043	 0.3677	-0.13852	 -0.2718	  -0.1578	   0.58247	  -0.16237	 -0.26721	  -0.15369	 0.59864	-0.12903	  -0.26032	 -0.18453	  0.57617
2	401.0803	124.3327	0.83712	0.37295	0.42411	0.42411	0.39331	0.40699	0.37295	0.39331	0.40699	-0.14354	-0.26044	  -0.1704	   0.65345	  -0.15932	 -0.27916	  -0.18107	 0.63275	-0.16295	  -0.28295	 -0.21087	  0.60126
3	203.5701	133.4176	0.94318	0.18813	0.21635	0.21635	0.18716	0.14998	0.18813	0.18716	0.14998	 0.29294	 0.14657	  0.12672	   0.26214	   0.11171	0.0094698	   0.11595	 0.25693	 0.13928	  0.089337	  0.13704	  0.42177
4	 125.113	56.40587	0.98485	0.11305	0.11501	0.11501	0.11933	0.12013	0.11305	0.11933	0.12013	 0.15998	0.013715	  0.01416	-0.0078543	 0.0010044	 0.016554	-0.0081435	0.060796	0.093767	-0.0078011	-0.045098	-0.018025
5	408.5212	113.9487	0.82576	 0.4018	0.42188	0.42188	0.41505	0.41493	 0.4018	0.41505	0.41493	0.012314	-0.27179	-0.061331	    0.5212	  -0.04691	 -0.27734	  -0.09583	 0.44975	-0.03014	  -0.30185	 -0.01964	  0.43845
6	181.0713	128.2991	0.98106	0.14051	0.17237	0.17237	 0.1691	0.15461	0.14051	 0.1691	0.15461	 0.42875	 0.21536	  0.29385	   0.18609	-0.0017235	-0.031705	  0.068656	0.087853	0.095272	  0.094352	  0.18876	  0.35287
