Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	473.2407	120.4535	0.24621	0.46391	0.46648	0.48612	0.46391	0.46648	0.48514	0.48514	0.48612	  0.26012	  0.26413	   0.10126	  0.11155	 0.068074	  0.030639	-0.024813	  0.046711	 -0.022226	-0.059865	 -0.017485	-0.11467
2	535.8121	49.71455	0.47348	0.53925	0.53962	0.54752	0.53925	0.53962	0.51901	0.51901	0.54752	 0.063272	 0.039247	 -0.054058	 0.052593	-0.083851	 0.0029143	-0.077047	 -0.089152	  -0.12774	-0.018542	  0.034962	-0.00624
3	526.9639	52.08565	    0.5	0.54523	0.54344	0.53622	0.54523	0.54344	 0.4934	 0.4934	0.53622	 0.020124	 0.061156	 -0.019319	-0.057723	  0.17694	-0.0033842	  0.11425	 -0.059811	  0.010152	-0.058137	   0.10708	 0.13449
4	521.5195	47.76614	  0.625	0.52958	0.53398	0.51998	0.52958	0.53398	0.49837	0.49837	0.51998	 0.072295	 0.099677	-0.0078658	 0.050941	 0.007646	-0.0085931	 -0.10155	-0.0097867	 -0.098006	 0.021831	 -0.027638	0.047696
5	501.9238	63.69134	0.51894	0.51715	 0.5126	0.50139	0.51715	 0.5126	0.48125	0.48125	0.50139	0.0095226	-0.045322	  0.012021	0.0028781	 0.052695	 0.0058007	-0.052788	  -0.07454	  0.079473	0.0010389	-0.0093503	-0.10569
6	500.4196	55.15356	0.56061	0.52498	0.50592	0.49672	0.52498	0.50592	0.46607	0.46607	0.49672	-0.064643	-0.051326	 -0.042354	  0.06018	 0.046489	 -0.082229	 0.073387	  0.032071	-0.0031579	-0.076761	 -0.041911	 0.04055
