Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	475.7445	83.70099	0.64773	0.48457	0.49925	0.45943	0.45331	0.49925	0.45943	0.45331	0.48457	 0.025041	 0.044633	-0.032993	-0.026492	 -0.069458	 0.010548	-0.016081	  0.050649	-0.042408	 0.064772	0.011642	0.075813
2	462.1379	66.81607	0.82955	0.47372	0.46915	 0.4537	 0.4574	0.46915	 0.4537	 0.4574	0.47372	-0.036459	-0.071327	  0.02794	 0.078468	-0.0056912	-0.099069	-0.035348	 -0.015031	-0.017109	-0.059995	0.021384	0.041319
3	344.7669	118.1094	0.88636	0.30144	0.32182	0.35079	0.36266	0.32182	0.35079	0.36266	0.30144	  0.29725	  0.19765	 0.077972	 0.084516	   0.12255	  0.10306	  0.13399	-0.0074364	-0.041143	-0.039881	 0.14294	 0.24325
4	349.3085	130.7869	0.88636	0.32029	0.32889	0.36053	0.36274	0.32889	0.36053	0.36274	0.32029	  0.25792	  0.21867	  0.15805	 0.064446	   0.17494	  0.16338	 0.063535	   0.09111	-0.072258	 0.010875	0.022486	0.068373
5	454.1443	67.62122	0.83712	0.45392	0.47685	0.46347	0.43879	0.47685	0.46347	0.43879	0.45392	  0.10866	 0.041525	   0.1468	 0.090913	  0.058636	   0.1059	-0.001818	  0.022524	0.0033208	 -0.04309	0.031744	0.081388
6	335.4692	124.7332	0.93939	0.35688	0.30602	0.33107	 0.3182	0.30602	0.33107	 0.3182	0.35688	  0.40162	  0.34278	  0.34611	  0.27251	   0.20516	  0.23474	  0.16753	   0.19655	   0.2961	  0.16095	 0.14172	 0.24003
