Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	453.0442	81.37425	0.62121	0.49219	0.46353	0.43224	0.43224	0.46353	0.43275	0.43275	0.49219	0.0032322	-0.055258	  -0.039056	  0.023476	 0.14374	  0.028156	-0.030657	-0.010824	-0.051514	0.037892	-0.0080213	-0.040261
2	 463.699	76.87823	 0.9053	0.50191	0.48989	 0.4232	 0.4232	0.48989	 0.4475	 0.4475	0.50191	-0.045274	-0.086812	-0.00024133	-0.0028584	 0.10626	  0.040206	-0.014342	0.0076266	 0.022244	0.016218	 -0.060055	-0.038469
3	385.5412	88.99961	0.92045	 0.4068	 0.3739	0.35861	0.35861	 0.3739	0.37803	0.37803	 0.4068	 0.082665	  0.10406	   0.081204	  0.025062	0.081038	-0.0082776	 0.098783	 -0.04006	 0.025479	0.071234	   0.20529	  0.23327
4	309.1494	 116.254	0.96591	0.33151	0.28201	0.28431	0.28431	0.28201	 0.2886	 0.2886	0.33151	 0.095124	 -0.11048	   -0.18281	 -0.026408	0.081119	   0.10939	 0.096343	-0.067527	 -0.15177	-0.11777	   0.08826	  0.45149
5	451.9302	73.63995	0.87879	0.47906	0.47935	0.40803	0.40803	0.47935	0.42942	0.42942	0.47906	  -0.1308	-0.057065	   -0.07765	  0.052013	0.012075	  -0.25281	 0.080029	 0.055018	 0.029953	 -0.1183	  0.056528	-0.027335
6	291.3036	139.4999	0.95833	0.30748	0.28882	0.25878	0.25878	0.28882	0.25429	0.25429	0.30748	  0.34528	  0.19024	    0.12407	   0.10857	 0.30237	   0.23141	  0.21726	 0.090329	  0.18124	 0.28689	   0.32333	  0.40073
