Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	483.3676	72.7941	0.77652	 0.4284	0.49292	0.51619	0.49567	0.49292	 0.4284	0.49567	0.51619	-0.029946	-0.080055	-0.021049	 0.068253	 0.024677	 -0.033832	0.00075577	  0.048337	-0.005709	-0.031107	 -0.10503	  0.012906
2	 478.047	65.3468	0.86742	0.42988	0.49995	0.50384	0.49321	0.49995	0.42988	0.49321	0.50384	 -0.12406	-0.054497	 -0.11546	  0.12044	 0.069896	 -0.032658	  0.080215	 -0.043036	 -0.07418	 0.046673	-0.029639	-0.0052467
3	411.8391	78.9749	0.92803	0.39124	0.41081	0.39869	0.41728	0.41081	0.39124	0.41728	0.39869	 0.084011	-0.076328	-0.010207	 0.027077	 0.054722	   0.15952	   0.20037	-0.0061954	-0.016469	-0.054412	 0.076239	   0.24241
4	307.7846	89.3073	 0.9053	 0.3269	0.28227	0.27296	0.30935	0.28227	 0.3269	0.30935	0.27296	 -0.13833	  0.10458	-0.029927	-0.014002	  0.11971	  -0.12338	   0.10254	  -0.09182	 0.055238	 0.027265	 -0.12005	   0.26326
5	 471.938	73.0505	0.82197	0.40449	 0.5084	0.51492	0.47725	 0.5084	0.40449	0.47725	0.51492	 -0.17281	 -0.07909	 0.054429	   0.1036	-0.024435	-0.0034105	 -0.055106	 0.0027449	-0.065285	0.0066524	0.0099924	 -0.057755
6	 383.645	 92.476	0.94318	0.37111	0.37762	0.36348	0.38924	0.37762	0.37111	0.38924	0.36348	 0.045221	 0.070839	-0.035549	 -0.03613	 0.025137	   -0.1097	 -0.040528	 -0.015782	-0.047295	 -0.07288	 -0.19211	    0.1525
