Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	 474.776	56.42731	0.79167	0.51006	0.51006	0.45006	0.45006	0.46781	0.46781	 0.4866	 0.4866	-0.034893	-0.076235	-0.088022	  0.12207	-0.031661	-0.09768	  0.12042	 0.014187	 -0.071579	-0.074103	-0.035807	 0.034835
2	462.5163	57.51417	0.82955	0.50034	0.50034	0.42946	0.42946	0.44306	0.44306	0.48497	0.48497	-0.046713	-0.060035	-0.049511	0.0012654	-0.021253	0.037145	 0.081365	-0.081845	  0.052547	-0.097493	-0.057847	 0.059483
3	419.9034	100.8671	0.79924	0.48029	0.48029	0.39617	0.39617	0.35798	0.35798	0.44161	0.44161	  0.16835	 -0.19053	 0.044712	  0.30098	 0.076719	-0.16532	-0.092647	  0.14543	  0.047931	 -0.21512	-0.053253	  0.23068
4	424.8892	97.97001	0.81439	0.47173	0.47173	0.40787	0.40787	0.36875	0.36875	0.44723	0.44723	  0.19422	 -0.14605	  0.11892	  0.42461	   0.1179	-0.11041	 0.074474	  0.35226	   0.10699	 -0.10582	  0.12151	  0.33735
5	477.0643	72.27706	0.73106	0.52551	0.52551	0.45898	0.45898	0.46147	0.46147	0.48073	0.48073	  0.10155	 0.077025	 0.043688	  0.13903	 0.060622	0.067327	  0.07711	 0.053356	 -0.022922	-0.068064	 0.030468	-0.011155
6	404.0359	107.9295	0.79167	0.38728	0.38728	0.39028	0.39028	0.40575	0.40575	 0.4168	 0.4168	  0.28469	  0.25523	  0.17791	  0.16627	 0.060349	 0.19997	 0.045406	 0.036136	-0.0013741	 0.026663	-0.051943	  0.11922
