Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	451.0585	83.14711	0.60985	0.43273	0.47521	0.47521	0.43273	0.44754	0.45776	0.45776	0.44754	  0.15496	 0.065825	 0.028169	0.16856	0.021437	 -0.05898	 0.023872	0.11765	-0.066687	-0.064314	-0.030911	0.07517
2	470.1558	81.17861	0.73864	0.47824	0.46886	0.46886	0.47824	0.46765	0.47654	0.47654	0.46765	-0.075001	-0.059345	-0.029603	0.44625	-0.12278	-0.079575	-0.036086	0.37194	 -0.10366	-0.045817	-0.083357	0.36432
3	455.7288	66.28465	0.81061	0.45098	  0.475	  0.475	0.45098	0.43552	0.45853	0.45853	0.43552	  0.19325	 -0.17284	   0.1855	0.56677	 0.22282	 -0.15838	   0.2101	0.48866	  0.19294	 -0.16677	   0.0999	0.45877
4	407.4775	67.90356	0.85606	0.41063	0.40958	0.40958	0.41063	0.39213	0.41399	0.41399	0.39213	  0.22706	 -0.16298	  0.10318	0.41287	0.026372	 -0.27435	 0.039986	0.36978	 0.046011	 -0.23121	 0.034271	 0.3484
5	464.9327	87.97383	0.66288	0.46033	0.47996	0.47996	0.46033	0.46351	0.45253	0.45253	0.46351	  0.18495	 0.039359	 0.038863	0.40044	0.029254	 -0.07623	0.0070364	0.30005	  0.02843	 -0.13602	-0.021713	0.27308
6	286.4948	124.3489	0.90152	0.27885	0.27983	0.27983	0.27885	0.27524	 0.2505	 0.2505	0.27524	  0.76409	   0.6449	  0.65249	0.61702	 0.54941	  0.48716	  0.47815	0.46055	  0.40722	  0.32358	  0.34607	0.32798
