Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	474.3124	 82.5476	0.51515	 0.4704	0.48502	0.48502	0.46362	0.46362	 0.4704	0.46894	0.46894	-0.048291	   0.06925	-0.035003	  0.031913	 -0.04662	  0.037641	  -0.10086	  0.01914	-0.13671	-0.037088	 -0.028914	  0.13699
2	490.6344	74.15492	0.60606	0.50392	0.49865	0.49865	0.48305	0.48305	0.50392	0.48015	0.48015	 0.035389	  0.053832	 0.067537	  0.026434	  0.14051	-0.0038126	-0.0050364	 0.038654	0.016466	0.0019063	  0.022825	 -0.16601
3	457.3242	94.04418	0.59848	0.46009	0.42993	0.42993	0.45564	0.45564	0.46009	0.47119	0.47119	  0.12702	-0.0031472	 0.020252	  0.030865	-0.086948	 -0.090277	 0.0080417	 0.043513	0.031926	-0.051124	 -0.054946	 0.059646
4	265.3691	132.8931	0.71212	 0.2091	0.21726	0.21726	0.29005	0.29005	 0.2091	 0.2888	 0.2888	 0.055888	  0.054853	  0.16858	 -0.044493	-0.036191	   0.15384	   -0.1503	-0.071784	 0.18189	-0.090433	-0.0044704	   0.1503
5	504.4919	91.57469	0.44697	0.47934	0.51888	0.51888	0.50782	0.50782	0.47934	0.50629	0.50629	 0.039519	   0.17603	  0.13636	-0.0048959	-0.029234	 -0.071977	    0.1235	 0.013657	0.084681	-0.033757	 -0.046474	-0.024409
6	343.8349	156.3977	0.64015	 0.2963	0.32502	0.32502	0.36051	0.36051	 0.2963	0.36217	0.36217	 0.077717	   0.23539	 0.033301	   0.23309	  0.10263	   0.13051	  0.074452	   0.1263	0.071203	 0.025771	  0.030444	0.0073492
