Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	471.0383	  79.563	0.70455	0.48018	0.48018	0.46346	0.46346	0.47359	0.47359	0.48722	0.48722	 0.11213	0.083955	-0.060909	0.13723	-0.0090286	 -0.084527	 -0.18045	0.016934	-0.024966	0.0045622	-0.068987	-0.01509
2	501.4389	53.55627	  0.875	0.49617	0.49617	0.49446	0.49446	0.50605	0.50605	0.50351	0.50351	0.022214	0.085106	-0.071376	0.13228	 -0.036005	-0.0097644	-0.017026	0.028687	 0.011024	 0.020359	-0.034364	0.044428
3	409.8149	110.8593	0.88258	0.41012	0.41012	0.38636	0.38636	0.39488	0.39488	0.41536	0.41536	 0.07058	-0.32772	 0.032127	0.53418	  0.014981	  -0.25093	 0.046337	 0.55201	 0.034831	  -0.3306	 0.041065	 0.53383
4	503.5989	48.79485	0.81061	0.51607	0.51607	0.49607	0.49607	 0.4996	 0.4996	0.49651	0.49651	 0.13979	0.077558	 0.097826	0.19331	  0.095148	   0.01691	 0.092637	 0.14944	 0.009263	 0.088607	  0.15413	 0.12746
5	515.8486	47.59565	0.88636	0.52802	0.52802	0.50784	0.50784	0.51608	0.51608	 0.5129	 0.5129	0.016989	0.064797	 0.090407	0.13772	  0.065397	-0.0037008	  0.11008	0.063318	  0.16633	-0.089166	  0.11439	0.081449
6	453.5593	88.60251	0.90152	 0.4605	 0.4605	0.44097	0.44097	 0.4465	 0.4465	0.45617	0.45617	  0.3538	 0.23043	   0.3456	0.53445	    0.3526	   0.22262	  0.33473	 0.48215	  0.24479	  0.15558	  0.27365	 0.41508
