Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	464.7456	79.39377	0.59091	0.48892	0.44623	0.46805	0.45512	0.45512	0.46805	0.44623	0.48892	0.11646	 -0.1163	0.068967	0.30048	 0.10504	 -0.025813	0.014924	 0.24297	  0.072563	 0.037522	  0.10683	0.080884
2	469.2169	 89.7436	0.56818	0.45445	0.47569	0.47833	0.46047	0.46047	0.47833	0.47569	0.45445	0.29661	 0.14397	 0.20011	0.30994	0.086942	-0.0010369	0.072531	 0.21123	  0.068777	 0.040262	  0.14063	 0.15992
3	430.7111	89.82577	0.73106	0.44087	0.42661	0.44184	0.39145	0.39145	0.44184	0.42661	0.44087	0.29509	0.044413	0.098891	0.31898	 0.12108	  0.020863	  0.1239	   0.239	  0.042311	-0.057923	 0.065241	0.056433
4	251.0686	136.1313	0.87879	0.24012	0.22784	0.22606	 0.2292	 0.2292	0.22606	0.22784	0.24012	0.80995	 0.73521	 0.78392	0.76622	 0.67983	   0.60979	 0.62557	 0.62772	   0.53269	  0.46651	  0.49133	 0.46839
5	438.2658	90.14656	0.56439	0.46838	0.43508	0.42985	0.41536	0.41536	0.42985	0.43508	0.46838	0.24314	 0.17743	 0.15498	0.19638	 0.12341	 -0.044587	0.027646	0.049699	-0.0034749	-0.054738	-0.054759	0.025288
6	232.2786	98.02797	0.92424	0.22712	0.20339	0.20393	0.22003	0.22003	0.20393	0.20339	0.22712	0.67042	  0.5908	 0.55337	0.50886	 0.42803	   0.42943	 0.40862	 0.37264	   0.36659	  0.29782	  0.29204	  0.3125
