Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	474.0653	110.0273	0.37879	0.46215	0.49075	0.48875	0.46215	0.49075	0.48875	 0.4565	 0.4565	  0.41711	 0.20969	 0.11925	 0.039833	 0.067031	  0.09217	-0.045911	 0.021617	-0.004012	-0.0023355	 0.046144	-0.055649
2	 482.937	 96.4237	0.48485	0.48608	0.47298	0.49522	0.48608	0.47298	0.49522	0.46701	0.46701	 0.096403	0.045627	0.026102	-0.074748	 0.096469	-0.014654	-0.014522	 0.040195	-0.076407	 -0.061982	-0.024359	 -0.12274
3	446.0322	86.88589	0.62879	0.40956	0.44565	0.44321	0.40956	0.44565	0.44321	0.48166	0.48166	-0.045694	-0.03827	0.063758	 -0.15306	-0.066454	  0.14596	-0.084771	 -0.18404	 0.066041	 -0.061201	-0.037591	  0.36765
4	  367.45	98.13072	0.87879	0.32619	0.36774	 0.3889	0.32619	0.36774	 0.3889	0.37851	0.37851	  0.24457	 0.24078	 0.23987	  0.10293	  0.17182	  0.20854	  0.11047	-0.020365	  0.14463	  0.029993	  0.14967	  0.26374
5	473.9502	78.70672	0.49621	 0.4904	0.45962	0.46809	 0.4904	0.45962	0.46809	 0.4765	 0.4765	  0.11591	0.051354	 0.11729	 0.077912	  0.01433	-0.098932	 0.019282	 0.077712	-0.034059	  -0.14501	-0.087263	 0.026038
6	333.7077	122.3738	0.79924	0.31421	 0.3504	0.30991	0.31421	 0.3504	0.30991	0.31342	0.31342	  0.21577	 0.14552	 0.10595	-0.039655	-0.067603	 -0.11176	 -0.03836	-0.024739	 0.053698	 0.0091638	 0.056102	  0.19518
