Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	446.6414	53.30614	0.91667	0.44553	0.44553	0.45538	0.45538	0.44566	0.44566	0.44304	0.44304	0.020263	0.043394	  0.11248	0.064864	  -0.03134	-0.014526	 0.030353	  0.12638	-0.093023	  0.032045	 0.047691	 0.085756
2	447.0386	 52.2872	 0.9053	  0.458	  0.458	 0.4365	 0.4365	 0.4295	 0.4295	0.46286	0.46286	 0.11898	0.064131	 0.080291	0.015219	  -0.13602	-0.035109	 0.034176	 0.017294	-0.093248	 0.0089276	-0.049016	-0.038548
3	176.6103	101.1993	0.98106	0.15563	0.15563	0.15975	0.15975	0.17185	0.17185	0.15557	0.15557	 0.26952	 0.17892	  0.11238	 0.16108	   0.13632	  0.14933	 0.023169	 0.068353	 0.054166	   0.18912	  0.09247	  0.14116
4	162.1213	84.76297	0.98485	0.14115	0.14115	0.13015	0.13015	0.18079	0.18079	0.14996	0.14996	0.094542	0.070257	 0.017573	 0.13732	 0.0091164	 0.076602	-0.026604	 0.041129	-0.054914	-0.0058683	-0.011576	  0.22368
5	448.0334	49.11731	0.87879	 0.4697	 0.4697	0.43383	0.43383	0.44793	0.44793	0.45629	0.45629	0.037686	 0.03465	0.0080198	0.006334	-0.0088442	-0.013387	-0.047514	-0.021941	 -0.02578	 0.0015365	 0.050982	 -0.10633
6	169.6984	 72.2502	0.98106	0.15724	0.15724	 0.1632	 0.1632	0.18674	0.18674	0.14498	0.14498	 0.21444	 0.13274	 0.092063	 0.07072	  0.039342	-0.014829	 -0.01058	 0.073845	  0.02497	 0.0064368	-0.053387	  0.12089
