Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	497.2022	83.1403	0.57197	0.53076	0.48882	0.48882	 0.5275	 0.5275	0.53076	0.49589	0.49589	-0.043841	-0.022689	  0.092622	-0.021624	  0.06508	 0.035446	-0.047163	 0.053541	 0.052248	 0.022398	  0.041349	-0.046362
2	503.7332	56.3175	0.70076	0.52833	0.49233	0.49233	0.51604	0.51604	0.52833	0.48625	0.48625	-0.081735	 -0.10588	   0.11373	  0.03384	 -0.06747	-0.013506	 0.012165	 0.015594	-0.013589	-0.084348	-0.0091649	  0.14709
3	483.6271	68.6784	0.79545	0.52975	0.48046	0.48046	0.46983	0.46983	0.52975	 0.4727	 0.4727	 0.020221	-0.058383	  0.015433	  0.11707	-0.083756	-0.085082	-0.081119	-0.035465	0.0056311	-0.092382	  -0.05151	  0.15923
4	466.7495	73.7741	0.79545	0.50856	0.46942	0.46942	0.43587	0.43587	0.50856	 0.4553	 0.4553	 0.050717	-0.056261	   0.06449	 0.099003	 0.021131	-0.045366	  0.11038	  0.13132	 0.031526	-0.074292	  0.063372	  0.24391
5	477.5237	69.1656	0.72727	0.50445	0.47484	0.47484	0.45049	0.45049	0.50445	0.47673	0.47673	0.0043426	  0.11752	 -0.004625	0.0094181	 0.035537	  0.02142	 0.011227	  0.16539	-0.017506	 0.059231	   0.05272	  0.10835
6	452.9605	76.7786	0.80682	0.50095	0.44396	0.44396	0.41505	0.41505	0.50095	0.46094	0.46094	  0.14879	 -0.13532	-0.0083186	  0.08013	-0.020557	 -0.12884	-0.012676	  0.12229	 0.018858	 -0.10982	  0.050619	   0.3526
