Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	473.0324	92.8948	0.57955	0.47929	0.45986	0.49886	0.47929	0.48363	0.48363	0.45986	0.49886	   0.18165	  0.12009	 0.010885	 -0.031456	  0.12388	 0.090341	  0.15622	    0.151	  0.027838	 0.070829	  0.053687	  0.015757
2	507.2704	67.7964	0.65152	 0.5129	0.49389	0.51966	 0.5129	0.51605	0.51605	0.49389	0.51966	 -0.063666	 0.017101	 0.038535	  -0.08646	 0.006723	-0.010839	0.0048577	 0.022147	  -0.10563	 0.019703	 0.0013266	-0.0088837
3	484.6199	80.5988	0.68182	0.48076	0.46353	0.51863	0.48076	0.48381	0.48381	0.46353	0.51863	 -0.072575	0.0031236	 0.021074	 -0.048976	 -0.02039	 0.080096	 0.020316	 -0.13777	  0.080977	 -0.04219	 -0.029858	   0.11041
4	464.6106	76.4246	0.69697	0.46839	0.43008	0.50302	0.46839	0.46174	0.46174	0.43008	0.50302	-0.0084252	-0.033521	-0.010779	    -0.101	 0.083093	 0.028297	 0.040981	-0.070757	 -0.054474	 -0.13915	-0.0079195	   0.18493
5	490.7667	64.8503	0.67424	0.49096	0.48559	0.49828	0.49096	0.49309	0.49309	0.48559	0.49828	  0.087506	 -0.02537	-0.089254	0.00021774	-0.073344	 0.017132	 -0.10223	-0.052047	 -0.051719	-0.028112	 -0.098006	 -0.054322
6	470.2801	79.6585	    0.5	0.46189	0.45819	0.50969	0.46189	0.45953	0.45953	0.45819	0.50969	  0.022922	 0.057119	-0.013072	 -0.073344	 0.043038	  -0.1509	  0.10457	  -0.1073	-0.0035095	-0.016144	 -0.067234	   0.15725
