Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	456.2934	101.7509	0.52652	0.43693	0.46786	0.46786	0.45728	0.46529	0.43693	0.45728	0.46529	 0.18286	   0.0903	0.073957	 0.056527	 0.0032776	-0.038274	  0.01893	-0.011962	 -0.01181	-0.048618	 0.043852	 -0.02232
2	415.5978	121.2615	0.51136	0.44584	 0.4099	 0.4099	0.40526	 0.3808	0.44584	0.40526	 0.3808	  0.1094	  0.18978	0.024861	   0.1018	   0.13511	 0.058576	 0.016885	-0.060288	 0.068059	  0.11374	 0.034487	 0.032753
3	345.4155	160.9742	0.65152	0.36154	0.32727	0.32727	0.36528	0.29746	0.36154	0.36528	0.29746	0.089705	-0.080998	0.071918	  0.28856	0.00064129	 -0.10059	  0.14044	  0.31345	 0.058712	 -0.16941	 0.059796	  0.19294
4	161.7774	106.3116	0.88636	0.16794	0.13521	0.13521	 0.1694	0.14112	0.16794	 0.1694	0.14112	 0.30843	 0.032871	-0.01438	-0.096959	   0.01714	  0.10272	0.0036305	-0.069048	-0.070763	 -0.08823	 0.011544	 0.086957
5	368.4671	157.0536	0.55303	0.38188	0.35172	0.35172	0.35871	0.35974	0.38188	0.35871	0.35974	 0.17745	-0.024765	0.091406	  0.17628	  0.045992	-0.036759	 0.033958	  0.11013	  0.12624	   0.1111	 0.021999	 0.080083
6	  164.44	 108.591	0.90909	0.14818	0.14689	0.14689	0.14258	0.13949	0.14818	0.14258	0.13949	 0.35464	 0.022188	0.086851	  0.23282	   0.13435	-0.029127	-0.034075	 0.076889	 0.046927	-0.086099	-0.048918	-0.047865
