Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	450.5947	53.29709	0.85227	0.44711	0.45034	0.45256	0.45256	0.45034	 0.4427	 0.4427	0.44711	-0.042888	0.033512	 0.090661	 0.025286	  0.063927	-0.056685	0.064081	-0.10978	0.027724	-0.020394	-0.068942	 0.036746
2	430.6658	57.48638	0.83333	0.43342	0.43217	0.41938	0.41938	0.43217	0.43632	0.43632	0.43342	 0.073227	0.079849	-0.012172	0.0076524	0.00039727	  0.01653	0.010642	0.001543	0.025392	 -0.15371	0.0070901	 0.029001
3	353.0178	92.76642	0.89015	0.37052	0.32647	0.34607	0.34607	0.32647	0.35088	0.35088	0.37052	  0.24303	 0.23922	   0.2287	  0.16544	    0.1772	 0.042572	 0.15843	0.073804	 0.23929	  0.18453	 0.040627	  0.41259
4	239.9518	116.6499	0.95076	0.24791	0.22297	0.22891	0.22891	0.22297	 0.2057	 0.2057	0.24791	  0.37729	 0.28962	  0.18569	  0.17884	    0.1376	 0.017839	  0.1266	 0.11962	0.065017	 0.059819	 0.018547	 0.079535
5	 426.274	53.23123	0.82955	0.42838	0.43622	0.41483	0.41483	0.43622	0.42424	0.42424	0.42838	-0.018345	0.039638	 0.068156	 0.010161	   0.14857	  0.07195	0.078439	0.054255	-0.14977	 0.080603	 -0.10084	-0.053353
6	242.8678	118.8669	0.92803	0.25213	0.24037	0.22049	0.22049	0.24037	0.20162	0.20162	0.25213	  0.61714	 0.48466	   0.4652	   0.4584	   0.36947	  0.27269	 0.28994	 0.27521	 0.26354	  0.21839	  0.26598	  0.33055
