Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	484.8457	51.4693	0.83333	0.49085	0.48415	0.46585	0.49085	0.48415	0.46585	0.49142	0.49142	 0.007125	  0.12054	-0.0034983	 0.28608	 0.095785	  0.01351	 0.038779	  0.09628	   0.12816	-0.0059192	 0.026672	0.052254
2	461.3236	60.0881	0.88636	 0.4625	 0.4522	0.46696	 0.4625	 0.4522	0.46696	0.45864	0.45864	 -0.18855	0.0092774	  -0.06811	 0.24694	-0.050791	-0.061125	-0.042092	  0.19102	-0.0074095	  -0.12171	 0.020116	 0.16214
3	454.3703	58.7112	0.92424	0.45756	0.46731	0.44513	0.45756	0.46731	0.44513	0.45137	0.45137	-0.089854	 0.006511	  -0.02625	 0.19063	-0.040007	 -0.12795	0.0015609	  0.18566	  0.023894	  -0.14373	 0.049885	 0.10024
4	 448.978	66.8796	0.91667	0.46042	0.46012	0.42513	0.46042	0.46012	0.42513	0.43699	0.43699	-0.045156	 -0.15497	  0.069484	 0.28278	-0.072093	 -0.11896	  0.05536	  0.14074	   0.01786	  -0.26754	-0.035159	 0.17106
5	478.0206	55.3024	0.81818	0.50119	0.47442	0.46338	0.50119	0.47442	0.46338	0.48557	0.48557	-0.090131	-0.022706	  0.032021	0.023981	 -0.02754	-0.061769	-0.058814	  0.11688	  0.061461	  -0.13159	  0.11741	  0.1354
6	436.6382	 62.481	0.92803	0.45527	0.45031	0.41112	0.45527	0.45031	0.41112	0.41607	0.41607	 0.086783	 0.030829	  0.039462	 0.11732	 0.045852	  0.02985	-0.053426	-0.042704	  -0.13753	-0.0037726	 0.083276	 0.22934
