Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	474.2301	84.4053	0.62879	0.46637	0.46637	0.47834	0.45222	0.48267	0.47834	0.45222	0.48267	    0.23703	-0.022187	-0.0064698	   0.1154	 0.031375	-0.0029637	0.049962	 0.034807	 -0.077667	-0.097109	 0.050592	0.0084553
2	483.3599	73.8436	0.58333	 0.4782	 0.4782	0.51033	0.47032	0.47954	0.51033	0.47032	0.47954	  -0.046313	 0.037118	 -0.002358	  0.10897	-0.012254	  0.025559	0.035239	-0.026325	-0.0026339	 0.067377	-0.024589	 0.027593
3	461.7261	69.8844	0.76894	0.46033	0.46033	0.46135	 0.4336	0.48946	0.46135	 0.4336	0.48946	-0.00011405	 -0.18863	  0.030686	 0.018762	0.0036796	   0.17918	0.014763	-0.077908	  0.045638	 -0.10208	-0.028748	  0.17249
4	431.5264	74.8818	0.81818	0.41107	0.41107	0.46673	0.39918	0.43997	0.46673	0.39918	0.43997	  -0.093837	 -0.12623	   0.20349	 0.010974	 -0.06458	   0.24498	-0.18522	 -0.12199	  0.077219	 -0.12352	 -0.17756	  0.19133
5	450.1161	75.1461	0.67424	0.45874	0.45874	0.45762	0.43333	0.44723	0.45762	0.43333	0.44723	   0.079477	  0.10651	  0.016689	-0.044024	 0.078141	  0.070431	 0.14189	  0.15489	   0.16298	 0.092917	0.0087648	 0.053126
6	436.7799	71.7211	0.88258	0.44439	0.44439	0.45539	0.40261	0.44206	0.45539	0.40261	0.44206	  -0.048174	 -0.17925	   0.30475	-0.097656	 -0.10082	   0.24252	-0.14977	 -0.10869	   0.27519	 -0.18739	 -0.18148	  0.38185
