Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	509.9492	58.4915	0.53788	0.52764	0.52764	 0.5211	0.50428	0.51105	 0.5211	0.50428	0.51105	 -0.035527	-0.018866	-0.065321	 0.026568	-0.075988	  0.00975	 -0.034957	 0.074211	 -0.08838	  0.023787	-0.13041	0.0011329
2	519.1458	 53.972	0.52652	0.52582	0.52582	0.52346	0.50425	0.52251	0.52346	0.50425	0.52251	-0.0038467	-0.051643	-0.034303	-0.070755	 0.089866	  0.03897	 -0.017145	-0.048104	-0.030296	  0.057311	 0.11587	 0.032973
3	489.8036	67.4742	   0.75	0.47283	0.47283	0.51876	0.47745	0.49555	0.51876	0.47745	0.49555	  -0.22252	  0.15633	-0.045873	 -0.23942	  0.24719	 -0.27759	   0.20814	 -0.11979	-0.069147	    0.1794	-0.27184	  0.38236
4	489.0763	65.2907	0.72348	0.48893	0.48893	0.51647	0.46228	0.49547	0.51647	0.46228	0.49547	  -0.14791	  0.15779	 0.017016	 -0.22165	  0.16064	 -0.15304	   0.17035	 -0.13422	-0.068487	   0.03707	-0.15194	  0.33771
5	510.9885	60.7631	0.61364	0.51478	0.51478	0.52811	0.49503	0.52103	0.52811	0.49503	0.52103	 -0.054231	 -0.12792	 0.073712	  0.05233	 -0.13485	-0.015902	-0.0023905	 -0.13602	-0.079888	-0.0066349	0.062218	 0.089295
6	485.0701	60.2566	0.80682	0.48155	0.48155	0.50369	0.45267	0.50078	0.50369	0.45267	0.50078	  -0.23013	  0.16968	 0.049292	 -0.24503	  0.23064	  -0.2329	   0.17152	  -0.1175	 0.022335	  0.093103	-0.27215	  0.33846
