Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	460.1251	91.6296	0.59091	0.47795	0.46304	0.46304	 0.4353	0.47137	0.47795	 0.4353	0.47137	-0.0023281	 0.065677	-0.097175	 -0.11817	 -0.12026	 0.034784	 -0.14842	  -0.071014	-0.025813	  0.12031	   0.10978	0.029144
2	467.5347	78.4762	0.75379	0.47296	0.46558	0.46558	0.45741	0.47619	0.47296	0.45741	0.47619	 -0.025336	 0.068533	 -0.10668	 0.025488	 0.075308	-0.034183	 0.023621	   0.079078	 0.015936	  0.13264	 -0.010792	 0.11013
3	469.2885	79.3635	0.83712	0.46282	0.50365	0.50365	0.45391	0.44849	0.46282	0.45391	0.44849	  0.097553	-0.085939	 -0.21321	 -0.10683	0.0094706	-0.025825	 0.053311	   0.051683	 -0.11708	  -0.1619	   0.11381	 0.24473
4	446.7057	87.3031	0.83333	0.42317	0.49009	0.49009	0.43335	0.44481	0.42317	0.43335	0.44481	   0.18058	 0.088498	-0.041999	 0.027681	-0.055796	-0.018675	 0.014196	-0.00075864	-0.027211	 0.033017	-0.0038664	 0.24346
5	460.8076	72.7057	0.83712	 0.4798	0.46761	0.46761	0.45735	0.43407	 0.4798	0.45735	0.43407	 -0.016111	 0.089748	  0.10725	-0.038587	 0.095174	-0.059865	 0.066889	  -0.095343	-0.028491	-0.076546	 -0.069242	0.049917
6	451.4114	84.4939	0.79167	0.45373	0.48801	0.48801	0.43427	0.43456	0.45373	0.43427	0.43456	  0.087633	-0.053809	 -0.06577	  0.12643	-0.024259	-0.068713	-0.029635	   0.030795	  -0.1453	 -0.13597	 -0.024826	 0.25036
