Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	489.5076	53.76021	0.81818	0.47845	0.49124	0.49534	0.47845	 0.4815	 0.4815	0.49124	0.49534	0.042984	 -0.11992	 -0.11329	 0.13563	-0.0061163	   -0.0933	 0.0034199	 0.19032	 0.050678	-0.024831	-0.073588	0.047744
2	491.1122	49.19658	 0.8447	0.48209	0.49577	 0.4996	0.48209	0.48813	0.48813	0.49577	 0.4996	0.049917	-0.065878	  0.02989	0.085946	 -0.004197	  0.013434	-0.0051647	0.075814	-0.062217	-0.080451	 0.012222	0.060576
3	332.4466	111.4287	0.92803	0.32889	0.31918	 0.3007	0.32889	0.32102	0.32102	0.31918	 0.3007	0.059698	 0.008059	-0.049811	0.068763	   0.13363	0.00087359	  0.055611	 0.13013	 -0.10799	 -0.02635	 0.086539	 0.23446
4	295.7862	105.4605	0.94318	 0.2941	0.29043	0.26914	 0.2941	 0.2947	 0.2947	0.29043	0.26914	 0.29787	  0.24927	  0.28697	 0.26739	   0.22972	    0.2342	    0.1769	 0.17454	  0.21202	 0.072706	 0.044487	 0.16807
5	496.5395	49.86831	0.76515	0.48755	0.50698	0.50628	0.48755	0.49496	0.49496	0.50698	0.50628	-0.09957	  -0.1043	 0.093814	 0.14277	 -0.028379	 -0.097738	   0.13854	0.010747	 -0.10713	 -0.08314	 0.032634	 0.08992
6	253.7511	130.7606	0.96212	0.23307	0.26473	0.23377	0.23307	0.23599	0.23599	0.26473	0.23377	 0.25529	  0.36293	  0.23559	 0.32891	    0.2764	   0.20425	    0.2144	 0.16502	  0.14104	  0.13764	  0.10474	 0.20661
