Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	438.0785	91.00927	  0.875	0.43152	0.43152	0.43875	0.43372	0.43372	0.45446	0.45446	0.43875	 -0.06483	 -0.3242	-0.098798	0.58855	-0.086885	-0.30833	-0.042685	0.56041	 -0.10532	-0.36184	-0.090689	0.55438
2	432.3348	94.84154	0.85606	0.42485	0.42485	0.44798	0.42846	0.42846	0.42764	0.42764	0.44798	-0.046524	-0.18769	 -0.10549	0.41832	 -0.12968	-0.25521	 -0.07303	0.46707	-0.034208	-0.28489	-0.083605	0.33856
3	158.9579	120.2924	0.97348	0.13029	0.13029	0.13265	0.13739	0.13739	0.14284	0.14284	0.13265	  0.40147	 0.31725	  0.39192	0.41787	  0.32714	 0.19579	  0.25447	0.30111	  0.22897	 0.19504	  0.18362	0.24135
4	206.7637	161.5334	0.91667	0.18396	0.18396	0.18061	0.17663	0.17663	0.18942	0.18942	0.18061	  0.52882	 0.58046	  0.54374	0.55439	   0.4916	 0.50524	  0.45018	0.47271	  0.43524	 0.45441	  0.41823	0.46828
5	 446.515	 96.2395	0.85606	0.44248	0.44248	0.43733	0.43488	0.43488	0.46148	0.46148	0.43733	0.0056694	-0.29074	-0.032388	0.39733	-0.086995	-0.32312	-0.060013	0.41894	-0.069216	-0.32646	-0.024971	0.40491
6	222.2747	141.6356	0.82955	0.19965	0.19965	 0.2144	 0.2016	 0.2016	0.19604	0.19604	 0.2144	   0.1828	 0.09852	  0.26815	0.20939	   0.2196	 0.12267	  0.14073	0.27635	  0.16714	 0.10889	  0.15468	 0.2853
