Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	 496.729	57.0595	 0.7803	0.49184	0.51694	0.51694	 0.4733	 0.4733	0.49184	0.52567	0.52567	-0.0023669	 -0.10843	  0.011536	 -0.11832	  0.12725	  0.13133	-0.074288	 0.094327	 -0.15455	-0.050553	 0.081248	-0.0050344
2	506.1069	43.9322	0.80682	0.49591	0.51482	0.51482	0.49373	0.49373	0.49591	 0.5204	 0.5204	 0.0033308	 -0.13482	 -0.049408	 0.059288	 0.032662	 -0.01678	 0.055728	-0.038519	-0.049033	 0.042034	 0.061487	 0.0013299
3	487.4124	 53.741	0.88258	0.48408	0.48506	0.48506	0.46611	0.46611	0.48408	 0.5043	 0.5043	  0.054659	 0.065512	 0.0084742	-0.036161	 -0.03531	 -0.11112	 0.094534	-0.007107	 0.016995	 -0.13814	-0.027637	   0.11599
4	484.9462	49.7231	0.84848	0.48405	0.50147	0.50147	0.46354	0.46354	0.48405	0.49646	0.49646	 -0.060087	-0.083737	-0.0096279	 0.052932	-0.054208	 0.030241	-0.054163	 0.095175	-0.079365	-0.053824	  0.01671	    0.1451
5	 501.824	 49.775	0.81439	 0.4951	0.51683	0.51683	0.48498	0.48498	 0.4951	0.51641	0.51641	  0.067422	 -0.14409	  0.081913	  0.13162	 0.014523	 -0.13444	 0.018945	-0.010579	-0.039672	 -0.03754	 0.063921	  -0.10801
6	464.2706	53.2599	0.92045	0.46189	0.46727	0.46727	0.44152	0.44152	0.46189	0.47647	0.47647	   0.10297	0.0024254	   0.09646	  0.13305	-0.067257	-0.049458	0.0093729	-0.046815	-0.075737	-0.033028	-0.013916	  0.087335
