Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	501.2578	54.6454	0.67424	0.50951	0.49195	0.48481	0.48481	0.51441	0.50951	0.49195	0.51441	-0.092833	-0.0054521	 0.038032	0.10388	-0.16125	  -0.10313	 0.014059	-0.080423	 0.010474	-0.080481	 0.049245	0.044274
2	478.1386	58.5228	0.82197	 0.4844	0.47242	0.47933	0.47933	0.48127	 0.4844	0.47242	0.48127	 0.002638	 -0.070155	-0.027031	0.27367	0.035254	 -0.070961	   0.1026	 0.083549	 0.066367	-0.060234	 -0.03061	 0.16316
3	471.4187	55.5441	 0.9053	0.48697	0.48418	 0.4708	 0.4708	0.43776	0.48697	0.48418	0.43776	-0.048505	-0.0076434	 0.026433	0.29086	-0.10243	-0.0073636	-0.040926	   0.2357	-0.053698	 0.062066	0.0041566	 0.29734
4	424.7554	96.8282	0.89394	0.44328	0.40868	0.39035	0.39035	0.44514	0.44328	0.40868	0.44514	  0.23435	   0.11704	  0.33301	0.48194	 0.31045	    0.1329	  0.26273	  0.35434	   0.2863	0.0078315	  0.13481	 0.50374
5	471.2152	62.1245	0.81818	0.48483	0.46627	0.46786	0.46786	 0.4604	0.48483	0.46627	 0.4604	-0.061264	 0.0080753	 -0.02176	0.19482	-0.01941	 -0.024481	-0.035589	  0.24268	  -0.1274	-0.042777	-0.069151	 0.19023
6	459.5234	62.6666	0.87879	0.48416	0.44272	0.45061	0.45061	0.45652	0.48416	0.44272	0.45652	  0.14624	  0.024403	 0.032595	0.07765	 0.01122	 -0.045052	 0.043792	  0.07929	 0.061048	-0.047573	 0.015012	0.023447
