Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	493.2712	75.89201	0.63636	0.48746	0.52436	0.48576	0.48746	0.52436	0.48612	0.48612	0.48576	 0.061814	-0.0035389	 0.088398	0.0061479	-0.0011986	-0.060483	-0.011269	0.008206	-0.037008	-0.094709	0.0033857	 0.077215
2	477.0705	75.32648	0.77273	0.46547	0.51233	0.46544	0.46547	0.51233	0.47242	0.47242	0.46544	 0.051424	  -0.01782	 0.065854	 0.038876	 -0.034851	-0.022393	 -0.11656	0.060458	 0.058122	  -0.0236	 0.014049	-0.048811
3	452.1708	63.21451	0.89394	0.45116	0.48035	0.44111	0.45116	0.48035	0.42946	0.42946	0.44111	0.0069562	  -0.21893	    -0.09	  0.18935	 -0.091411	 -0.10732	-0.090488	 0.21333	-0.062521	  -0.1037	0.0071496	  0.26084
4	347.9442	135.7347	0.93561	0.39744	0.21856	0.37208	0.39744	0.21856	0.37673	0.37673	0.37208	0.0069912	  -0.60095	-0.066578	  0.69817	 0.0056835	 -0.56805	-0.060818	  0.6965	0.0076653	 -0.53729	-0.087352	  0.62307
5	435.3881	93.42062	0.82197	0.41264	0.44504	0.43703	0.41264	0.44504	0.43051	0.43051	0.43703	-0.060501	  -0.27258	-0.044186	  0.55611	 -0.066025	 -0.31776	-0.092789	 0.51075	-0.063384	 -0.29363	  -0.1049	  0.46069
6	399.6664	99.52011	0.90909	0.40867	0.37494	0.39358	0.40867	0.37494	0.38664	0.38664	0.39358	  0.10059	  -0.46313	 0.040545	   0.5634	  0.042899	 -0.42084	 0.016928	 0.53575	 0.078734	 -0.43201	 0.080513	  0.57938
