Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	 488.111	47.0019	0.91667	0.49248	0.49248	0.49306	0.49306	0.48024	0.48024	 0.5048	 0.5048	 0.091648	 0.037196	  0.04536	  0.04237	 0.032596	  0.12041	  0.13795	  0.12885	   0.1094	-0.071677	0.0016596	-0.062185
2	490.7754	43.9946	0.89394	0.50422	0.50422	0.47931	0.47931	 0.4889	 0.4889	0.49308	0.49308	-0.038259	0.0013352	-0.025422	 0.023534	-0.030949	 -0.04237	 0.024522	 0.027133	-0.012195	 0.033822	 0.099006	 -0.04112
3	491.0132	 47.191	0.92045	0.50698	0.50698	0.48763	0.48763	0.46607	0.46607	0.50082	0.50082	-0.047679	 -0.12815	 0.037525	 0.021667	  -0.0205	-0.046937	  -0.0935	-0.027765	-0.042805	-0.032679	 0.044812	  0.15125
4	490.7779	46.6263	0.87879	0.49517	0.49517	0.49184	0.49184	0.47474	0.47474	0.49873	0.49873	 0.052224	 0.096946	  0.18512	   0.1314	  0.13106	-0.036392	  0.14599	 0.082764	 0.023501	0.0088164	0.0069636	   0.1043
5	494.1409	46.4325	  0.875	0.50081	0.50081	0.48482	0.48482	 0.4863	 0.4863	0.50354	0.50354	 0.075993	-0.081604	-0.036161	-0.005678	  0.11796	 0.030234	-0.056089	-0.046754	 0.058546	 0.031082	-0.010316	0.0069347
6	473.5345	49.5436	0.92045	 0.4889	 0.4889	0.47481	0.47481	0.45851	0.45851	0.47243	0.47243	  0.22259	-0.054914	 0.089662	 0.039351	-0.039668	 -0.11166	 0.046485	  0.13093	 0.080058	-0.053751	 0.027302	  0.15073
