Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	499.4549	62.8601	0.56818	0.51769	0.51769	0.45873	0.45873	0.52809	0.52809	0.49946	0.49946	 -0.016665	  -0.11172	 -0.057214	-0.057434	-0.078304	 -0.053075	-0.045807	0.0070724	-0.013968	-0.086196	 0.043052	 0.021604
2	497.2803	63.2261	0.64773	0.50816	0.50816	0.47373	0.47373	0.50989	0.50989	  0.494	  0.494	  0.044046	-0.0042158	-0.0083713	-0.036533	 0.033172	  0.036206	-0.062138	  0.16166	-0.010171	-0.019319	 0.021761	 -0.02313
3	476.2876	68.4966	0.77652	  0.494	  0.494	0.42665	0.42665	0.47964	0.47964	0.50498	0.50498	  0.019912	  0.028055	   0.20771	-0.087978	 -0.15158	   0.17815	-0.087194	-0.041468	  0.12544	-0.048111	-0.044739	  0.22223
4	 456.208	77.7669	0.75758	0.46049	0.46049	 0.4115	 0.4115	0.47623	0.47623	0.47835	0.47835	  -0.05337	  0.027924	  0.083993	 0.084313	-0.068665	-0.0021185	 -0.10306	  0.14697	 0.033939	 -0.10563	-0.072159	  0.22212
5	473.1125	 67.119	0.77273	 0.4901	 0.4901	0.42941	0.42941	0.49377	0.49377	0.49073	0.49073	-0.0080378	  -0.10269	 -0.076635	  0.18336	 0.068247	 -0.060427	-0.022888	0.0088943	  0.11818	0.0032484	 0.076609	0.0020083
6	447.5799	69.5114	0.79924	0.49492	0.49492	0.41288	0.41288	0.41812	0.41812	0.45987	0.45987	 -0.093203	 -0.017641	   0.17014	 0.015884	 -0.16126	    0.1019	-0.044656	0.0090334	 0.088528	-0.050798	  0.04272	 0.083825
