Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	436.2921	177.4583	0.46591	0.43126	0.46631	0.46631	0.43126	0.45145	0.40772	0.40772	0.45145	0.64339	  0.447	 0.31969	0.33065	    0.2955	 0.24227	  0.1655	 0.10716	 0.040704	-0.0037566	 -0.02625	 0.0066771
2	 384.884	200.2894	0.42803	0.38304	0.36047	0.36047	0.38304	 0.3861	0.36723	0.36723	 0.3861	0.62013	0.57663	 0.48199	0.43856	   0.40741	  0.3931	 0.31351	 0.27823	  0.17032	   0.14339	   0.1003	  0.074597
3	  469.36	133.7747	0.56439	0.45087	0.44794	0.44794	0.45087	0.50319	0.46421	0.46421	0.50319	0.51123	0.34143	0.074501	 0.0534	-0.0092714	0.095237	0.034787	0.073236	-0.054821	-0.0046865	-0.045951	  -0.01601
4	423.5523	189.0326	0.49242	 0.4342	 0.4639	 0.4639	 0.4342	  0.453	0.44115	0.44115	  0.453	0.45687	0.36631	 0.29671	0.30915	   0.27549	 0.25848	 0.24753	 0.13233	  0.18996	    0.1378	  0.14292	  0.086485
5	392.7646	190.5923	0.44697	0.37641	0.41105	0.41105	0.37641	0.39279	0.37262	0.37262	0.39279	0.57948	 0.5024	 0.38266	0.34457	   0.29334	 0.25041	 0.14882	 0.10343	 0.046067	  0.080821	 0.032618	  0.010777
6	389.9824	187.3368	0.47727	0.40089	 0.3785	 0.3785	0.40089	0.38204	0.36008	0.36008	0.38204	0.66798	0.54959	 0.48355	0.34305	   0.25272	 0.15465	0.090352	0.058627	 0.043598	  0.029883	  0.03629	-0.0096341
