Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	532.5114	48.3284	0.49621	0.54545	0.52411	 0.5363	0.53856	0.52411	 0.5363	0.53856	0.54545	-0.0026646	  0.06829	-0.021731	-0.078156	-0.036631	-0.037625	-0.037837	 -0.011421	-0.064771	-0.024293	 0.049538	  0.009154
2	509.6782	51.5278	0.67424	0.51389	 0.4906	0.51343	0.51731	 0.4906	0.51343	0.51731	0.51389	 -0.094217	-0.016889	 0.044567	-0.073017	  0.14696	-0.066306	 0.041542	-0.0080892	-0.096085	 0.033656	 0.028239	 -0.041771
3	501.7325	 54.008	0.70833	0.51709	0.48184	0.50747	0.50224	0.48184	0.50747	0.50224	0.51709	  0.070606	 0.031767	  0.11837	  0.03513	 -0.11445	-0.049693	 -0.10829	 -0.050992	 0.015653	-0.075853	 0.011284	   0.18725
4	498.3278	54.2462	0.76894	0.51537	0.47133	0.50678	 0.5094	0.47133	0.50678	 0.5094	0.51537	  0.037772	0.0012034	-0.069508	 0.095673	 0.084092	 0.040067	-0.013375	   0.22364	-0.077267	-0.041363	-0.017263	   0.07634
5	 489.886	49.5515	0.72348	0.50971	0.47027	0.48955	0.49974	0.47027	0.48955	0.49974	0.50971	  -0.11832	-0.032786	-0.021192	 0.046782	  -0.1329	  0.13352	 0.020764	   0.01141	-0.099528	-0.070385	0.0050187	-0.0093725
6	500.8006	49.6349	0.81061	0.50521	0.47818	0.49687	0.51926	0.47818	0.49687	0.51926	0.50521	  0.099836	 -0.04467	 0.068575	  0.18944	  0.11866	-0.012325	 0.083398	   0.20969	   0.1272	-0.059553	  0.02321	   0.25431
