Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	484.6338	130.6799	0.55303	0.48382	0.48382	0.48701	0.48701	0.49535	0.49535	0.49059	0.49059	  0.59382	  0.33548	  0.27665	  0.16596	  0.12982	 0.017879	 -0.094977	  -0.11291	-0.097042	-0.064618	 -0.092188	-0.039504
2	519.9129	76.15268	0.63636	0.52096	0.52096	0.52966	0.52966	0.52194	0.52194	0.50968	0.50968	  0.21874	-0.016112	 0.020477	-0.066041	-0.054717	0.0028056	-0.0053665	 -0.016171	-0.015916	-0.019569	 -0.051906	  -0.0387
3	482.3638	107.8171	0.47727	 0.4908	 0.4908	0.45761	0.45761	0.48692	0.48692	0.48274	0.48274	  0.41161	  0.11021	  0.18059	   0.2076	  0.21119	 0.087457	 -0.023618	-0.0080248	 -0.11046	-0.026609	 -0.042078	-0.038085
4	484.0889	98.96884	0.68561	0.49129	0.49129	0.49248	0.49248	0.46981	0.46981	0.50132	0.50132	  0.33118	 0.067795	-0.060375	 -0.10363	0.0022224	 0.093425	  -0.01741	-0.0027636	-0.036361	-0.049728	-0.0053883	-0.011281
5	482.8166	 60.3346	0.75379	0.47649	0.47649	0.47613	0.47613	0.48892	0.48892	0.49752	0.49752	-0.029838	   0.1066	 0.043547	-0.043218	-0.019455	-0.061067	 -0.065062	  0.054055	 -0.04405	 0.046753	  0.043794	 0.073008
6	484.6552	65.01079	0.79924	0.47161	0.47161	0.49603	0.49603	0.47248	0.47248	0.50135	0.50135	 0.080214	 0.013275	 0.067843	 0.097349	-0.034268	0.0044926	   -0.1376	  0.075959	-0.054982	-0.079465	  0.063237	  0.12261
