Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	 503.142	57.37159	0.83333	0.49257	0.49257	0.51537	0.50029	 0.5178	0.51537	0.50029	 0.5178	  0.18074	 0.091174	 0.078606	 0.15847	  0.12622	 0.12987	0.0063441	0.061052	 0.094421	0.0023164	 0.028839	0.13395
2	502.0971	49.69503	0.83333	0.49178	0.49178	0.50498	0.50709	0.51071	0.50498	0.50709	0.51071	 0.042523	-0.001337	 0.039459	0.099076	  0.11486	0.081414	-0.087829	  0.1831	 -0.05951	 0.022676	 0.053057	 0.1774
3	378.6349	92.59934	0.95076	0.37294	0.37294	  0.361	0.37762	0.36846	  0.361	0.37762	0.36846	  0.18614	  0.24049	  0.15708	 0.10985	 0.068221	 0.11129	 0.012067	 0.13687	 0.024203	 0.082752	 0.043696	0.19053
4	267.7202	114.6752	0.98106	0.23538	0.23538	0.27822	0.23824	0.26286	0.27822	0.23824	0.26286	   0.4861	   0.2864	  0.23663	 0.29992	  0.16257	 0.12927	  0.10994	 0.15276	 0.092496	  0.10264	   0.1679	0.21033
5	474.5971	 77.7845	0.85985	0.46512	0.46512	 0.4757	0.46391	0.48552	 0.4757	0.46391	0.48552	0.0064995	 -0.14909	-0.067573	 0.48279	-0.096444	-0.27288	-0.086666	 0.44878	0.0042458	 -0.15128	-0.090092	0.42833
6	260.7447	96.86067	0.96591	0.22994	0.22994	0.27834	0.25476	0.24956	0.27834	0.25476	0.24956	   0.3276	   0.1738	  0.20765	 0.19042	  0.24644	 0.26211	  0.17552	 0.17033	 0.077626	  0.10666	 0.031739	0.15097
