Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	497.9054	97.3098	   0.25	0.47383	0.52048	0.52048	 0.5288	 0.5288	0.51197	0.51197	0.47383	 0.34147	  0.25278	 0.18958	  0.15038	   0.24678	 0.21509	   0.13301	  0.19055	    0.20225	  0.19512	  0.24033	 0.12256
2	519.6394	67.7679	0.43182	0.51901	0.52593	0.52593	0.53104	0.53104	0.50954	0.50954	0.51901	0.086846	  0.16331	0.092297	-0.053448	 -0.092633	0.079472	3.4894e-05	 0.011612	-0.00091914	-0.066256	-0.071106	0.043732
3	516.2343	64.7938	0.55303	0.53456	0.52465	0.52465	0.51767	0.51767	0.49215	0.49215	0.53456	 0.17239	  0.06157	 0.15122	-0.084032	-0.0075711	 0.06034	 -0.042214	  -0.1115	   0.093006	 0.025671	 0.022952	  0.1272
4	508.9101	67.4972	    0.5	0.51422	0.51248	0.51248	0.50115	0.50115	0.50572	0.50572	0.51422	 0.16498	-0.041618	0.044824	 0.045851	   0.12302	 0.10612	  0.031034	 0.016946	   -0.10047	 -0.11809	-0.047927	0.043592
5	519.7517	53.8775	0.50379	0.52529	0.50877	0.50877	0.53177	0.53177	0.50868	0.50868	0.52529	 0.15098	  0.11755	0.052516	 0.031661	 0.0072731	0.048305	-0.0063542	-0.010886	   0.016523	  0.12673	-0.090211	 0.11858
6	517.1404	  48.08	 0.5947	0.52627	0.52115	0.52115	0.51616	0.51616	0.50961	0.50961	0.52627	0.090485	-0.032748	0.050731	 0.021552	 -0.061337	0.038886	  0.083917	 0.055101	    0.02503	  0.08881	 0.042757	-0.05139
