Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	451.2982	 90.4632	0.69697	0.46712	 0.42447	 0.42447	0.45589	0.44012	0.46712	0.45589	0.44012	 0.049989	-0.21342	-0.054882	 0.39699	-0.021806	-0.22912	0.0063771	   0.32296	 -0.10432	-0.23861	 -0.09171	  0.3378
2	429.2669	99.63051	0.79167	0.44016	 0.42842	 0.42842	0.41343	0.42745	0.44016	0.41343	0.42745	-0.052527	-0.48766	-0.056069	 0.60216	-0.044704	-0.45587	-0.015987	   0.63848	-0.098961	-0.41503	  -0.0672	 0.59872
3	260.5038	138.4226	0.92424	0.23834	 0.25084	 0.25084	  0.247	0.23654	0.23834	  0.247	0.23654	  0.38467	 0.33153	  0.39514	 0.51307	  0.32978	 0.32271	  0.32449	   0.43204	  0.34584	  0.2573	  0.35557	 0.40199
4	214.7715	147.1153	 0.9053	0.21235	 0.19327	 0.19327	0.18756	0.18736	0.21235	0.18756	0.18736	  0.45968	 0.45003	  0.38778	 0.43136	  0.29894	 0.26018	  0.25229	   0.24352	 0.097852	 0.10518	 0.093816	 0.11695
5	459.6117	90.77585	0.79924	0.44877	 0.45034	 0.45034	0.46886	0.47795	0.44877	0.46886	0.47795	 -0.12516	-0.20831	 -0.14455	 0.53096	 -0.10107	-0.26072	 -0.13059	   0.47339	   -0.185	-0.17224	 -0.15132	 0.51789
6	124.6599	77.65627	0.94697	0.11182	0.098233	0.098233	0.11131	0.12296	0.11182	0.11131	0.12296	-0.081157	0.094986	 0.018861	0.074935	 -0.10201	 0.13105	 0.042697	-0.0067614	 0.036308	0.059694	-0.019924	0.080344
