Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	 455.566	98.21715	0.27273	0.46096	 0.4437	 0.4437	  0.463	  0.463	0.47238	0.47238	0.46096	 0.22418	    0.18146	  0.15234	  0.14502	0.010458	-0.083734	 -0.13853	-0.12701	 -0.07038	 -0.12145	  -0.12624	-0.15471
2	 471.648	96.03542	0.28409	0.43534	0.46242	0.46242	0.49008	0.49008	0.49099	0.49099	0.43534	 0.25257	  0.0011228	0.0049746	  0.10648	0.091939	 0.084773	  0.11503	 0.14623	  0.05661	-0.007909	 -0.064611	0.084167
3	462.1467	93.95922	 0.4053	0.43297	0.45984	0.45984	 0.5245	 0.5245	0.44605	0.44605	0.43297	 0.10985	   -0.13062	-0.037232	 0.060176	0.097414	 -0.12337	-0.032921	0.018088	 -0.11161	  -0.1367	-0.0092274	 0.12462
4	405.7762	  146.74	0.64394	0.39027	0.41744	0.41744	 0.5034	 0.5034	0.29092	0.29092	0.39027	 0.40774	-0.00015276	-0.050849	-0.053095	-0.17523	 -0.33802	 -0.17812	-0.05191	-0.015148	 0.058348	   0.28344	 0.48353
5	515.6367	54.14985	0.52652	0.49824	0.50946	0.50946	0.51846	0.51846	0.53693	0.53693	0.49824	0.026433	    0.10265	 0.047597	 0.023252	0.036883	-0.039066	-0.035855	-0.10899	-0.025524	 0.028295	  0.091876	-0.07699
6	384.2082	144.2391	   0.75	0.38628	0.41935	0.41935	0.44777	0.44777	0.24068	0.24068	0.38628	 0.40937	    0.13016	-0.066387	 -0.10721	-0.19556	 -0.25214	 -0.18079	-0.13031	-0.057366	  0.07647	   0.24757	 0.48815
