Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	 465.182	93.55231	0.53788	0.45983	0.49055	0.43486	0.45983	0.48917	0.48917	0.49055	0.43486	 0.028813	0.0096382	-0.084155	 0.14394	 0.028075	-0.083149	 0.042586	-0.07565	  0.12204	 -0.16926	-0.017776	-0.15998
2	450.4307	95.88988	0.56061	0.44873	 0.4846	0.42835	0.44873	0.45219	0.45219	 0.4846	0.42835	-0.030468	 0.090428	-0.011319	0.022104	 -0.12772	 0.099187	-0.080462	 0.06523	-0.011087	0.0046301	 0.054969	0.043845
3	434.9363	92.35786	   0.75	0.38615	0.45234	0.44216	0.38615	0.46913	0.46913	0.45234	0.44216	-0.063842	 -0.17163	 0.075538	0.089349	-0.066413	 -0.16703	 0.013834	0.068773	 0.046788	-0.066317	-0.056931	 0.26283
4	413.8984	 97.5127	0.78409	0.36006	0.41722	0.42801	0.36006	0.44261	0.44261	0.41722	0.42801	  0.14956	  -0.1194	 0.070272	 0.15874	-0.059961	  -0.2514	-0.033839	 0.18048	  0.01489	 -0.15953	  0.10182	 0.37472
5	463.3991	89.35501	0.69318	0.46521	 0.4903	0.44003	0.46521	0.47841	0.47841	 0.4903	0.44003	 0.060697	 0.080462	-0.020773	0.031511	 0.055387	  -0.1013	 0.037044	-0.14895	  0.13897	-0.095422	0.0030058	 0.10407
6	391.6652	114.6251	0.84848	0.35034	 0.3724	0.38234	0.35034	0.43423	0.43423	 0.3724	0.38234	   0.2091	 -0.05658	  0.11038	  0.2187	-0.029499	 -0.21729	-0.029852	 0.22881	 0.062518	 -0.13059	  0.08371	 0.35512
