Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	466.3633	91.38917	 0.5303	0.50005	0.43864	0.43864	0.46965	0.46965	0.45535	0.45535	0.50005	 0.014701	-0.089884	0.098135	-0.00021797	 0.026051	 -0.008726	0.0087363	   0.036436	 -0.029127	-0.041501	 -0.01469	-0.010327
2	458.6977	97.24663	0.70833	0.49936	0.43895	0.43895	0.43046	0.43046	0.46809	0.46809	0.49936	 0.020724	 -0.15592	0.071323	    0.12372	-0.060876	-0.0059472	-0.095501	  0.0081706	 0.0031262	 -0.11204	 0.041947	 0.091562
3	451.0761	82.52216	0.76515	0.47328	0.44867	0.44867	 0.4095	 0.4095	0.44901	0.44901	0.47328	0.0087413	 -0.10255	0.030243	    0.25258	 0.080174	  -0.16458	-0.026794	    0.18314	 -0.079451	 -0.21561	-0.055222	  0.21892
4	432.6002	83.68757	0.75379	0.44498	0.44337	0.44337	0.40284	0.40284	0.41866	0.41866	0.44498	 0.093834	-0.085235	0.060277	   0.068258	 0.042236	  -0.16541	 -0.11386	   0.060552	 -0.069697	 -0.14862	  0.05499	 0.072184
5	473.5852	74.47539	0.68182	0.50326	0.44563	0.44563	0.46845	0.46845	0.48878	0.48878	0.50326	-0.042003	 -0.06047	0.037407	   -0.01802	  0.10227	  -0.08713	 0.018279	-0.00029442	 -0.097532	 -0.12803	 0.091503	-0.049756
6	385.1415	 118.371	0.77652	 0.4189	0.39787	0.39787	0.32427	0.32427	0.36672	0.36672	 0.4189	 0.065081	 -0.40355	0.044145	    0.33484	-0.087095	  -0.41612	-0.053478	    0.32949	-0.0058813	 -0.39552	 0.070036	  0.45222
