Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	458.5153	72.49371	0.87879	0.46044	0.46194	0.46194	0.45153	0.45153	0.45517	0.45517	0.46044	 0.068462	 0.010371	-0.0079673	0.16003	-0.019031	 0.013989	  0.09593	0.028372	 0.057172	 0.017238	0.0015429	-0.057523
2	414.5096	96.77292	0.87121	0.40702	0.42112	0.42112	 0.4106	 0.4106	0.39505	0.39505	0.40702	-0.075028	 -0.22127	 -0.046853	 0.4688	-0.084649	 -0.28365	-0.063681	 0.45382	-0.064445	 -0.24389	-0.018981	  0.38671
3	217.1473	120.4401	0.92045	0.20919	0.20818	0.20818	0.15988	0.15988	0.21848	0.21848	0.20919	   0.1556	-0.056586	  0.063164	 0.1308	 0.059476	  0.02956	 0.083468	 0.15627	-0.024926	 -0.16261	 0.022516	  0.21292
4	236.5889	118.1191	0.90152	0.20861	0.19014	0.19014	0.26793	0.26793	0.22681	0.22681	0.20861	  0.19282	 0.018218	   0.15161	0.33127	  0.15139	-0.055368	 0.062428	 0.19754	  0.01142	-0.076631	  0.07651	  0.23087
5	400.5486	107.9076	0.85606	0.39327	 0.4046	 0.4046	0.38648	0.38648	0.41053	0.41053	0.39327	 -0.15245	 -0.19414	  -0.11341	0.54003	 -0.14793	 -0.20926	 -0.13009	 0.52628	 -0.15053	 -0.18177	 -0.20358	  0.47234
6	176.0384	87.78362	 0.9697	0.16831	0.15968	0.15968	0.14496	0.14496	0.15957	0.15957	0.16831	  0.28149	   0.3775	   0.23052	0.28568	  0.27017	  0.20274	  0.22764	 0.15459	 0.098489	  0.21345	  0.13762	  0.18443
