Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	405.3037	141.2214	0.36364	0.38787	0.46767	0.37993	0.42292	0.46767	0.37993	0.42292	0.38787	  0.17495	-0.025544	-0.052131	-0.020452	-0.071869	-0.011154	 -0.029613	 -0.03546	 0.063292	  0.14115	 0.048579	 0.01221
2	443.7914	 108.973	    0.5	0.45748	0.46498	0.44201	0.42865	0.46498	0.44201	0.42865	0.45748	-0.014408	  0.13484	  0.01667	 0.088132	0.0099881	 0.025376	-0.0095584	-0.028543	 -0.03994	-0.014863	-0.060918	 -0.1464
3	 268.961	136.3991	0.82955	0.19871	 0.3101	0.24779	0.26237	 0.3101	0.24779	0.26237	0.19871	   0.4565	  0.41748	  0.44273	  0.53819	  0.40012	  0.38654	   0.36161	  0.38642	  0.36341	  0.32921	  0.28026	 0.35529
4	206.9391	78.71954	0.98485	0.16371	0.24082	0.19755	 0.1798	0.24082	0.19755	 0.1798	0.16371	 0.075204	-0.049944	 0.065678	  0.29101	-0.027602	-0.013525	 -0.081849	 0.057223	-0.043754	 -0.14779	 -0.10144	 0.22556
5	 460.299	87.46992	0.63258	0.47534	0.48598	0.44008	0.45722	0.48598	0.44008	0.45722	0.47534	 0.079888	0.0010307	 0.019657	 0.068733	 0.056727	 0.035342	 -0.070626	 0.024541	 0.022536	-0.019633	 0.068829	0.096632
6	189.3022	99.56806	 0.9697	0.13657	0.20589	0.17607	0.16189	0.20589	0.17607	0.16189	0.13657	  0.13538	 0.095996	   0.1847	  0.19977	 0.083076	 0.048107	  -0.07159	  0.15048	 0.069061	-0.060225	0.0049099	 0.16792
