Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	496.3803	60.4922	0.65152	0.47932	0.47932	0.50142	0.50142	0.48371	0.48371	0.51784	0.51784	  0.13265	 0.041978	   0.13463	  0.11789	 0.038287	  -0.10794	0.0018397	 0.058571	0.0069459	-0.05227	 -0.016437	  0.12861
2	470.2418	79.6211	0.67424	0.45242	0.45242	0.46432	0.46432	0.48961	0.48961	0.47854	0.47854	  0.15603	  0.15632	  0.082082	-0.018252	-0.001976	 -0.013865	 0.069587	0.0013621	-0.051826	  0.1078	 0.0032138	-0.018153
3	495.7331	66.0181	0.73864	0.49581	0.49581	0.49683	0.49683	0.51231	0.51231	0.47975	0.47975	-0.025577	  0.10654	 -0.021026	 0.072224	 -0.11463	  0.052504	 -0.17199	 0.054372	-0.065763	0.045208	 -0.017646	  0.24712
4	463.5217	84.6206	0.78788	0.46625	0.46625	0.48514	0.48514	0.39023	0.39023	0.49402	0.49402	-0.013867	 -0.16371	  0.024518	  0.34676	-0.011987	  -0.10568	-0.011975	  0.29691	  0.01715	-0.13994	-0.0066932	  0.29962
5	474.2002	79.0145	   0.75	0.48354	0.48354	0.44214	0.44214	0.48237	0.48237	0.49544	0.49544	-0.031869	-0.037944	  0.028993	 0.036296	-0.035878	-0.0011443	 0.033681	  0.12085	 0.044744	0.052175	  0.022117	 -0.12857
6	 461.849	73.9076	 0.9053	0.47255	0.47255	0.44195	0.44195	0.44077	0.44077	0.47873	0.47873	  0.05697	 -0.09929	-0.0046838	  0.25227	  0.12125	 -0.071382	  0.06276	 0.084738	-0.021915	-0.13307	 -0.022406	  0.24129
