Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	 479.132	61.67589	0.81061	0.48359	0.48359	0.47114	0.47114	0.47484	0.47484	0.49998	0.49998	 -0.061606	 -0.02549	0.054117	0.089746	 0.052311	0.047762	 0.061288	 0.027781	  0.017184	-0.075194	 0.014737	0.00087035
2	  457.35	65.11199	0.85606	0.46388	0.46388	0.44299	0.44299	0.46915	0.46915	0.45184	0.45184	-0.0083975	0.0012961	 0.12566	 0.11527	 0.046803	0.033992	  0.13021	  0.15129	   0.10541	0.0034643	 0.042541	-0.0065053
3	456.2482	64.42328	0.87121	0.46743	0.46743	0.43924	0.43924	0.46687	0.46687	0.46684	0.46684	   0.13652	-0.024404	-0.10972	0.031883	 -0.02585	 0.12987	 0.049416	-0.021659	  -0.11852	-0.084045	 -0.06912	   0.13645
4	415.7738	74.45941	0.82197	0.40407	0.40407	0.40759	0.40759	0.42925	0.42925	 0.4253	 0.4253	   0.24046	   0.1556	 0.18978	0.053379	-0.023932	 0.13928	-0.025035	 0.023335	-0.0014004	 0.032457	-0.022601	     0.063
5	446.2451	106.7626	0.66288	0.43471	0.43471	0.44142	0.44142	0.44713	0.44713	0.45226	0.45226	   0.30598	  0.27674	 0.15422	 0.23823	  0.21445	 0.19112	  0.25075	  0.10395	   0.14878	 0.075792	 0.095574	 -0.014326
6	 340.251	131.1641	 0.5947	0.35323	0.35323	0.31988	0.31988	0.33199	0.33199	 0.3537	 0.3537	   0.60326	  0.51221	 0.42087	 0.34435	  0.25407	 0.16603	  0.15831	  0.16411	    0.1759	  0.20953	  0.22638	   0.23951
