Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	455.3301	78.31787	0.78409	0.44554	0.46417	0.44347	0.44554	0.46417	0.44347	0.45495	0.45495	-0.079147	 -0.096729	  0.016868	0.28106	 -0.11908	0.027821	-0.040112	0.22807	-0.032121	-0.059702	-0.058308	0.24345
2	428.7236	98.94306	0.76894	0.41614	0.44127	0.42451	0.41614	0.44127	0.42451	0.44621	0.44621	 -0.11681	 -0.098998	 -0.094488	0.41148	  -0.2243	-0.11981	  -0.1479	0.31336	 -0.12841	 -0.12991	 -0.20651	0.39613
3	220.5391	120.9873	0.92045	0.21343	 0.1965	0.20547	0.21343	 0.1965	0.20547	0.19197	0.19197	  0.53649	   0.42322	   0.40176	0.44212	  0.39855	 0.33272	  0.35937	0.39237	  0.31726	  0.23147	  0.32156	0.33995
4	208.2738	125.1626	 0.9053	0.17902	0.19686	0.22509	0.17902	0.19686	0.22509	0.20027	0.20027	 0.043089	-0.0088927	  0.063008	0.11975	  0.18766	-0.10804	 0.059452	0.18138	 0.058692	-0.084041	  0.09657	0.24049
5	433.2418	84.55798	0.74242	0.42504	0.44614	0.42138	0.42504	0.44614	0.42138	0.44544	0.44544	-0.031787	  -0.21004	-0.0030534	0.27681	-0.018772	-0.22387	-0.046298	0.23839	-0.043271	 -0.14074	-0.052832	 0.1887
6	216.1503	132.2631	  0.875	0.19798	0.20041	0.19048	0.19798	0.20041	0.19048	0.19991	0.19991	   0.5285	   0.50747	   0.48163	0.48293	  0.43534	 0.42533	  0.44536	  0.461	  0.40248	  0.34117	    0.358	0.36472
