Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	 471.572	72.3131	0.82197	 0.4733	 0.4733	0.47738	0.47738	0.48724	0.48724	0.47254	0.47254	-0.049462	-0.028476	 0.064558	 0.28581	  0.067264	  -0.0754	 -0.02742	 0.18231	0.0092253	-0.021659	-0.052437	0.25208
2	491.6384	69.4357	0.82955	0.49763	0.49763	0.48594	0.48594	0.47922	0.47922	0.50631	0.50631	  0.20044	  0.06174	-0.046184	0.071425	  0.087808	 0.003446	  0.10137	0.070192	  0.13348	-0.077003	 0.046708	0.11154
3	490.6566	54.3545	0.86742	0.49181	0.49181	0.48414	0.48414	0.48299	0.48299	0.50047	0.50047	 0.074071	 -0.16965	-0.040512	 0.10307	  0.071344	 -0.12512	 0.010851	0.061427	 0.018725	 -0.02798	 0.068873	0.12785
4	485.3864	58.1196	0.86364	 0.4948	 0.4948	0.47351	0.47351	0.47379	0.47379	0.49758	0.49758	-0.021801	-0.013267	-0.045948	 0.22443	-0.0070254	-0.022939	 0.051176	 0.13968	 0.050674	0.0027982	 0.079407	 0.1608
5	483.6362	 62.232	0.79545	 0.4837	 0.4837	0.48032	0.48032	0.48493	0.48493	0.49977	0.49977	-0.034367	-0.040164	-0.040072	0.084258	  -0.08792	-0.060012	-0.048492	0.066373	 -0.10054	 -0.09637	  0.10762	0.07393
6	486.6549	56.1225	0.86364	0.51229	0.51229	0.48807	0.48807	 0.4523	 0.4523	0.48505	0.48505	  0.12793	0.0050379	 0.031835	 0.23189	   0.02386	-0.081686	 0.062724	0.074724	 0.020247	-0.064247	-0.011234	0.21937
