Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	452.0794	64.99148	0.84848	0.44605	0.46221	0.46221	0.44676	0.44676	0.44605	0.45223	0.45223	0.022293	 0.043331	  0.04261	 0.10823	  0.066695	-0.0091347	 0.037027	0.082199	 0.084644	-0.013638	0.0078598	-0.015201
2	448.4267	62.16818	0.88258	 0.4335	0.46356	0.46356	0.45253	0.45253	 0.4335	0.44647	0.44647	0.079719	-0.040362	0.0013209	0.092786	  0.057429	  0.048824	-0.078665	 0.16593	0.0080676	  0.17272	   0.0778	 0.051226
3	306.1758	135.4442	0.91288	0.32317	0.32126	0.32126	 0.2463	 0.2463	0.32317	0.28334	0.28334	 0.53757	  0.36386	  0.12237	0.085313	  0.015181	 -0.043413	-0.066133	-0.10355	-0.057226	 0.038032	  0.11236	   0.1523
4	259.4714	142.2367	0.89773	0.24939	0.25724	0.25724	0.24131	0.24131	0.24939	0.22254	0.22254	 0.48014	  0.40445	  0.28518	 0.30194	   0.11496	   0.15435	  0.14092	 0.15559	 0.033187	 0.050149	 0.081036	 0.069049
5	 450.934	 61.7621	0.82197	0.43227	0.47252	0.47252	0.45038	0.45038	0.43227	0.47001	0.47001	0.025077	  0.13666	  0.13071	 0.12004	-0.0034777	   0.15217	 0.045905	0.074406	  0.08897	-0.040818	 0.064833	-0.077816
6	263.8156	142.9627	0.90909	0.25243	0.25231	0.25231	 0.2364	 0.2364	0.25243	0.25259	0.25259	 0.56374	  0.44078	  0.33637	 0.26589	   0.19755	   0.14684	  0.05595	0.052508	-0.027654	  -0.0399	-0.059886	 -0.05346
