Block	MeanRT	StdRT	Acc	cue1_RT	keys1_RT	cue2_RT	keys2_RT	cue3_RT	keys3_RT	cue4_RT	keys4_RT	Lag1	Lag2	Lag3	Lag4	Lag5	Lag6	Lag7	Lag8	Lag9	Lag10	Lag11	Lag12
1	491.7435	80.13391	0.69697	0.48308	0.50033	0.49437	0.48653	0.48653	0.48308	0.50033	0.49437	-0.045256	 -0.18729	 -0.0090623	  0.34919	 0.041901	 -0.25961	-0.017522	  0.25302	 0.080848	 -0.17463	-0.050455	  0.19673
2	478.5914	98.42693	0.58333	0.48185	0.47925	 0.4771	0.47513	0.47513	0.48185	0.47925	 0.4771	-0.051475	-0.078012	-0.00016748	 0.039498	-0.011686	 -0.06494	0.0044009	 0.012635	 -0.11593	 0.093785	-0.022029	-0.071394
3	 249.306	142.6611	 0.8447	0.19106	 0.2426	0.24662	0.24009	0.24009	0.19106	 0.2426	0.24662	  0.22938	  0.14689	    0.16774	 0.092976	  0.10146	 0.046511	 0.055506	0.0022538	 0.028783	-0.036563	 0.034452	   0.1832
4	239.9089	129.9616	0.65152	0.21115	0.21723	0.25563	 0.2441	 0.2441	0.21115	0.21723	0.25563	  0.10814	  0.09404	    0.12596	0.0057029	 0.090105	-0.086936	 -0.12677	 0.015857	-0.059205	-0.059515	 0.036721	-0.082024
5	207.8912	160.9642	0.29924	 0.1896	0.19643	0.21187	0.18467	0.18467	 0.1896	0.19643	0.21187	   0.3686	  0.23901	    0.23766	  0.19674	  0.14953	  0.21109	  0.24802	  0.17349	  0.12216	  0.25487	  0.18509	  0.20271
6	352.0988	121.8294	0.85606	0.35399	 0.3646	0.36137	0.31242	0.31242	0.35399	 0.3646	0.36137	  0.16047	  0.11122	    0.11641	  0.26947	  0.11731	 0.099642	  0.10785	  0.21834	 0.022971	  0.11636	 0.069604	 0.071658
